,FireplaceQu,GarageQual,SalePrice
0,,TA,208500
1,TA,TA,181500
2,TA,TA,223500
3,Gd,TA,140000
4,TA,TA,250000
5,,TA,143000
6,Gd,TA,307000
7,TA,TA,200000
8,TA,Fa,129900
9,TA,Gd,118000
10,,TA,129500
11,Gd,TA,345000
12,,TA,144000
13,Gd,TA,279500
14,Fa,TA,157000
15,,TA,132000
16,TA,TA,149000
17,,TA,90000
18,,TA,159000
19,,TA,139000
20,Gd,TA,325300
21,Gd,TA,139400
22,Gd,TA,230000
23,TA,TA,129900
24,TA,TA,154000
25,Gd,TA,256300
26,,TA,134800
27,Gd,TA,306000
28,Gd,TA,207500
29,,Fa,68500
30,,TA,40000
31,,TA,149350
32,,TA,179900
33,Gd,TA,165500
34,Gd,TA,277500
35,Gd,TA,309000
36,,TA,145000
37,TA,TA,153000
38,,TA,109000
39,,,82000
40,TA,TA,160000
41,Gd,TA,170000
42,,TA,144000
43,,TA,130250
44,,TA,141000
45,Gd,TA,319900
46,Ex,TA,239686
47,,TA,249700
48,,,113000
49,,TA,127000
50,,TA,177000
51,Gd,TA,114500
52,,TA,110000
53,Gd,TA,385000
54,TA,TA,130000
55,Gd,TA,180500
56,,TA,172500
57,,TA,196500
58,Gd,TA,438780
59,,TA,124900
60,,TA,158000
61,,TA,101000
62,Gd,TA,202500
63,,TA,140000
64,,TA,219500
65,Gd,TA,317000
66,Gd,TA,180000
67,,TA,226000
68,,TA,80000
69,TA,TA,225000
70,Gd,TA,244000
71,,TA,129500
72,TA,TA,185000
73,,TA,144900
74,,TA,107400
75,,TA,91000
76,,TA,135750
77,,TA,127000
78,,,136500
79,,TA,110000
80,Gd,TA,193500
81,,TA,153500
82,Gd,TA,245000
83,,TA,126500
84,TA,TA,168500
85,TA,TA,260000
86,Gd,TA,174000
87,,TA,164500
88,,,85000
89,,,123600
90,,TA,109900
91,,TA,98600
92,,TA,163500
93,Gd,TA,133900
94,,TA,204750
95,TA,TA,185000
96,,TA,214000
97,,TA,94750
98,,Fa,83000
99,,,128950
100,TA,TA,205000
101,TA,TA,178000
102,,TA,118964
103,,TA,198900
104,TA,TA,169500
105,Gd,TA,250000
106,,Fa,100000
107,,TA,115000
108,,,115000
109,TA,TA,190000
110,,TA,136900
111,TA,TA,180000
112,Gd,TA,383970
113,Gd,TA,217000
114,TA,TA,259500
115,Fa,TA,176000
116,Po,TA,139000
117,,TA,155000
118,TA,TA,320000
119,Gd,TA,163990
120,TA,TA,180000
121,,TA,100000
122,,TA,136000
123,,TA,153900
124,TA,TA,181000
125,,,84500
126,TA,TA,128000
127,TA,,87000
128,Fa,TA,155000
129,,TA,150000
130,Gd,TA,226000
131,TA,TA,244000
132,,TA,150750
133,,TA,220000
134,TA,TA,180000
135,Gd,TA,174000
136,Fa,TA,143000
137,,TA,171000
138,TA,TA,230000
139,,TA,231500
140,Po,,115000
141,,TA,260000
142,,TA,166000
143,,TA,204000
144,,TA,125000
145,,TA,130000
146,,Fa,105000
147,Gd,TA,222500
148,,,141000
149,,Fa,115000
150,,TA,122000
151,Gd,TA,372402
152,Gd,TA,190000
153,Gd,TA,235000
154,,Fa,125000
155,,,79000
156,,TA,109500
157,Gd,TA,269500
158,Gd,TA,254900
159,Gd,TA,320000
160,,TA,162500
161,Gd,TA,412500
162,Gd,TA,220000
163,,,103200
164,,TA,152000
165,,,127500
166,Gd,TA,190000
167,Gd,TA,325624
168,Gd,TA,183500
169,TA,TA,228000
170,,TA,128500
171,Gd,TA,215000
172,TA,Gd,239000
173,TA,TA,163000
174,TA,TA,184000
175,Gd,TA,243000
176,TA,TA,211000
177,Gd,TA,172500
178,Gd,TA,501837
179,,Fa,100000
180,TA,TA,177000
181,Gd,Fa,200100
182,Gd,TA,120000
183,,TA,200000
184,,TA,127000
185,TA,Ex,475000
186,,TA,173000
187,,Fa,135000
188,TA,TA,153337
189,Gd,TA,286000
190,TA,TA,315000
191,,TA,184000
192,,TA,192000
193,,TA,130000
194,,TA,127000
195,TA,TA,148500
196,Gd,TA,311872
197,Ex,TA,235000
198,,,104000
199,Gd,TA,274900
200,,TA,140000
201,Fa,TA,171500
202,,TA,112000
203,Gd,TA,149000
204,,TA,110000
205,,TA,180500
206,TA,TA,143900
207,Po,TA,141000
208,Gd,TA,277000
209,,TA,145000
210,,,98000
211,,TA,186000
212,TA,TA,252678
213,,TA,156000
214,,TA,161750
215,Fa,TA,134450
216,,TA,210000
217,,TA,107000
218,TA,TA,311500
219,,TA,167240
220,,TA,204900
221,TA,TA,200000
222,TA,TA,179900
223,,TA,97000
224,Ex,TA,386250
225,,TA,112000
226,TA,TA,290000
227,,TA,106000
228,Fa,TA,125000
229,TA,TA,192500
230,,TA,148000
231,TA,TA,403000
232,Po,TA,94500
233,,TA,128200
234,TA,TA,216500
235,,TA,89500
236,,TA,185500
237,,TA,194500
238,,TA,318000
239,Gd,TA,113000
240,,TA,262500
241,,,110500
242,,Fa,79000
243,TA,TA,120000
244,Fa,TA,205000
245,TA,TA,241500
246,,Po,137000
247,TA,TA,140000
248,,TA,180000
249,TA,TA,277000
250,,,76500
251,Gd,TA,235000
252,,TA,173000
253,,TA,158000
254,,TA,145000
255,TA,TA,230000
256,,TA,207500
257,Gd,TA,220000
258,TA,TA,231500
259,,TA,97000
260,TA,TA,176000
261,Gd,TA,276000
262,TA,TA,151000
263,,TA,130000
264,,TA,73000
265,TA,TA,175500
266,TA,TA,185000
267,Gd,TA,179500
268,Gd,Ex,120500
269,Fa,TA,148000
270,Gd,TA,266000
271,TA,TA,241500
272,Gd,TA,290000
273,Gd,TA,139000
274,,TA,124500
275,,TA,205000
276,,TA,201000
277,,TA,141000
278,Ex,TA,415298
279,TA,TA,192000
280,TA,TA,228500
281,,TA,185000
282,Gd,TA,207500
283,Gd,TA,244600
284,,TA,179200
285,,TA,164700
286,Gd,TA,159000
287,,,88000
288,,TA,122000
289,,TA,153575
290,Gd,Gd,233230
291,,,135900
292,Gd,TA,131000
293,TA,TA,235000
294,Gd,TA,167000
295,,TA,142500
296,,TA,152000
297,TA,TA,239000
298,Gd,TA,175000
299,Gd,TA,158500
300,Gd,TA,157000
301,TA,TA,267000
302,TA,TA,205000
303,,TA,149900
304,Ex,TA,295000
305,,TA,305900
306,TA,TA,225000
307,,,89500
308,,TA,82500
309,Ex,TA,360000
310,TA,TA,165600
311,Gd,TA,132000
312,Gd,TA,119900
313,Gd,TA,375000
314,Gd,Fa,178000
315,Gd,TA,188500
316,TA,TA,260000
317,Gd,TA,270000
318,TA,TA,260000
319,TA,TA,187500
320,,TA,342643
321,Gd,TA,354000
322,TA,TA,301000
323,,Fa,126175
324,Gd,TA,242000
325,,TA,87000
326,Gd,TA,324000
327,,TA,145250
328,,TA,214500
329,,Fa,78000
330,,TA,119000
331,,TA,139000
332,Gd,TA,284000
333,Gd,TA,207000
334,TA,TA,192000
335,Gd,TA,228950
336,Gd,TA,377426
337,,TA,214000
338,,TA,202500
339,,TA,155000
340,,TA,202900
341,,TA,82000
342,,TA,87500
343,Ex,TA,266000
344,,TA,85000
345,Gd,TA,140200
346,,TA,151500
347,Gd,TA,157500
348,,TA,154000
349,Ex,TA,437154
350,Gd,TA,318061
351,TA,TA,190000
352,,TA,95000
353,,TA,105900
354,Gd,TA,140000
355,,TA,177500
356,,TA,173000
357,Po,TA,134000
358,,TA,130000
359,TA,TA,280000
360,TA,TA,156000
361,,TA,145000
362,Ex,TA,198500
363,,TA,118000
364,TA,TA,190000
365,,TA,147000
366,Gd,TA,159000
367,Gd,TA,165000
368,Gd,TA,132000
369,Gd,TA,162000
370,TA,TA,172400
371,Gd,TA,134432
372,,TA,125000
373,,TA,123000
374,Gd,TA,219500
375,,,61000
376,,TA,148000
377,Gd,TA,340000
378,Ex,TA,394432
379,TA,TA,179000
380,Gd,TA,127000
381,Gd,TA,187750
382,,TA,213500
383,,Fa,76000
384,Fa,TA,240000
385,TA,TA,192000
386,,,81000
387,Fa,TA,125000
388,,TA,191000
389,Ex,TA,426000
390,,TA,119000
391,TA,TA,215000
392,,TA,106500
393,TA,,100000
394,,TA,109000
395,,TA,129000
396,,TA,123000
397,TA,TA,169500
398,,Po,67000
399,,TA,241000
400,Gd,TA,245500
401,Gd,TA,164990
402,,TA,108000
403,TA,TA,258000
404,TA,TA,168000
405,TA,TA,150000
406,,TA,115000
407,,TA,177000
408,Gd,TA,280000
409,Gd,TA,339750
410,,TA,60000
411,,TA,145000
412,Gd,TA,222000
413,Gd,TA,115000
414,TA,TA,228000
415,,TA,181134
416,TA,TA,149500
417,Gd,TA,239000
418,,TA,126000
419,Fa,TA,142000
420,,TA,206300
421,TA,TA,215000
422,,TA,113000
423,TA,TA,315000
424,Gd,TA,139000
425,Gd,TA,135000
426,TA,TA,275000
427,,TA,109008
428,,TA,195400
429,TA,TA,175000
430,,TA,85400
431,,,79900
432,,TA,122500
433,TA,TA,181000
434,,,81000
435,TA,TA,212000
436,,TA,116000
437,,TA,119000
438,Gd,Gd,90350
439,,TA,110000
440,Gd,TA,555000
441,,,118000
442,Gd,TA,162900
443,Gd,TA,172500
444,TA,TA,210000
445,Gd,TA,127500
446,Gd,TA,190000
447,TA,TA,199900
448,Gd,TA,119500
449,,TA,120000
450,,Fa,110000
451,TA,TA,280000
452,,TA,204000
453,,TA,210000
454,,TA,188000
455,TA,TA,175500
456,,Fa,98000
457,Gd,TA,256000
458,Gd,TA,161000
459,TA,TA,110000
460,,TA,263435
461,,TA,155000
462,Po,TA,62383
463,Gd,TA,188700
464,,,124000
465,TA,TA,178740
466,Po,TA,167000
467,Gd,TA,146500
468,Gd,TA,250000
469,,TA,187000
470,,TA,212000
471,Gd,TA,190000
472,,TA,148000
473,Ex,TA,440000
474,,TA,251000
475,,TA,132500
476,TA,TA,208900
477,Gd,TA,380000
478,Gd,TA,297000
479,,TA,89471
480,Gd,TA,326000
481,Gd,TA,374000
482,Gd,Fa,155000
483,,TA,164000
484,,TA,132500
485,Gd,TA,147000
486,,TA,156000
487,TA,TA,175000
488,Gd,TA,160000
489,,TA,86000
490,Gd,TA,115000
491,TA,TA,133000
492,,TA,172785
493,Fa,TA,155000
494,,TA,91300
495,,,34900
496,Gd,TA,430000
497,,TA,184000
498,,TA,130000
499,,TA,120000
500,,TA,113000
501,,TA,226700
502,,Fa,140000
503,TA,TA,289000
504,Fa,TA,147000
505,,TA,124500
506,TA,TA,215000
507,,TA,208300
508,Gd,TA,161000
509,,TA,124500
510,TA,TA,164900
511,Gd,TA,202665
512,,TA,129900
513,,TA,134000
514,,Po,96500
515,Gd,TA,402861
516,TA,TA,158000
517,TA,TA,265000
518,,TA,211000
519,Gd,TA,234000
520,,,106250
521,Gd,TA,150000
522,Gd,TA,159000
523,Gd,TA,184750
524,TA,TA,315750
525,TA,TA,176000
526,,TA,132000
527,Gd,TA,446261
528,,,86000
529,TA,TA,200624
530,Fa,TA,175000
531,,TA,128000
532,Po,TA,107500
533,,,39300
534,Gd,TA,178000
535,,,107500
536,,TA,188000
537,,TA,111250
538,Fa,TA,158000
539,TA,TA,272000
540,Gd,TA,315000
541,TA,TA,248000
542,TA,TA,213250
543,,TA,133000
544,Gd,TA,179665
545,,TA,229000
546,Gd,TA,210000
547,,TA,129500
548,,TA,125000
549,Gd,TA,263000
550,,TA,140000
551,,TA,112500
552,Gd,TA,255500
553,,TA,108000
554,Gd,TA,284000
555,Gd,TA,113000
556,TA,TA,141000
557,,TA,108000
558,TA,TA,175000
559,TA,TA,234000
560,Gd,TA,121500
561,TA,TA,170000
562,Gd,,108000
563,Gd,TA,185000
564,TA,TA,268000
565,,TA,128000
566,Gd,TA,325000
567,,TA,214000
568,Gd,Gd,316600
569,TA,TA,135960
570,,TA,142600
571,,TA,120000
572,,TA,224500
573,TA,TA,170000
574,,TA,139000
575,,TA,118500
576,Gd,TA,145000
577,Fa,TA,164500
578,,TA,146000
579,,Fa,131500
580,Gd,TA,181900
581,Gd,TA,253293
582,,,118500
583,Gd,Gd,325000
584,,TA,133000
585,Gd,TA,369900
586,,TA,130000
587,,TA,137000
588,Gd,TA,143000
589,,TA,79500
590,,TA,185900
591,Gd,TA,451950
592,,TA,138000
593,,TA,140000
594,,TA,110000
595,TA,TA,319000
596,,TA,114504
597,Gd,TA,194201
598,TA,TA,217500
599,TA,TA,151000
600,Gd,TA,275000
601,Gd,TA,141000
602,TA,TA,220000
603,,TA,151000
604,TA,TA,221000
605,Fa,TA,205000
606,,TA,152000
607,,TA,225000
608,Gd,TA,359100
609,,TA,118500
610,Ex,TA,313000
611,TA,TA,148000
612,TA,TA,261500
613,,,147000
614,,,75500
615,,TA,137500
616,Gd,TA,183200
617,,TA,105500
618,Gd,TA,314813
619,Gd,TA,305000
620,,,67000
621,TA,TA,240000
622,,TA,135000
623,TA,TA,168500
624,TA,TA,165150
625,,TA,160000
626,TA,TA,139900
627,Gd,TA,153000
628,TA,TA,135000
629,,TA,168500
630,,Fa,124000
631,Gd,TA,209500
632,TA,TA,82500
633,,TA,139400
634,,TA,144000
635,,,200000
636,Po,,60000
637,,TA,93000
638,,,85000
639,Gd,TA,264561
640,Gd,TA,274000
641,TA,TA,226000
642,TA,TA,345000
643,,TA,152000
644,Gd,TA,370878
645,,TA,143250
646,,TA,98300
647,Gd,TA,155000
648,TA,TA,155000
649,,,84500
650,,TA,205950
651,Gd,Fa,108000
652,TA,TA,191000
653,,TA,135000
654,TA,TA,350000
655,,TA,88000
656,,TA,145500
657,Gd,TA,149000
658,Gd,TA,97500
659,,TA,167000
660,TA,TA,197900
661,TA,TA,402000
662,TA,TA,110000
663,,TA,137500
664,Ex,TA,423000
665,TA,TA,230500
666,Po,TA,129000
667,Fa,TA,193500
668,TA,TA,168000
669,Gd,TA,137500
670,,TA,173500
671,,TA,103600
672,TA,TA,165000
673,TA,TA,257500
674,Gd,TA,140000
675,TA,TA,148500
676,,Fa,87000
677,,Fa,109500
678,Gd,TA,372500
679,,TA,128500
680,TA,TA,143000
681,,TA,159434
682,Gd,TA,173000
683,TA,TA,285000
684,,TA,221000
685,TA,TA,207500
686,,TA,227875
687,,TA,148800
688,Gd,TA,392000
689,Gd,TA,194700
690,TA,TA,141000
691,Ex,TA,755000
692,Gd,TA,335000
693,,TA,108480
694,,TA,141500
695,TA,TA,176000
696,,TA,89000
697,,TA,123500
698,Gd,TA,138500
699,,TA,196000
700,Gd,TA,312500
701,,TA,140000
702,Gd,TA,361919
703,Po,TA,140000
704,,TA,213000
705,,,55000
706,TA,TA,302000
707,Gd,TA,254000
708,Gd,TA,179540
709,,TA,109900
710,,,52000
711,,TA,102776
712,Gd,TA,189000
713,,TA,129000
714,,TA,130500
715,TA,TA,165000
716,,TA,159500
717,Fa,TA,157000
718,TA,TA,341000
719,Po,TA,128500
720,TA,TA,275000
721,,TA,143000
722,,TA,124500
723,,TA,135000
724,Gd,TA,320000
725,,TA,120500
726,Gd,TA,222000
727,,TA,194500
728,,TA,110000
729,,TA,103000
730,TA,TA,236500
731,Gd,TA,187500
732,TA,TA,222500
733,TA,TA,131400
734,,TA,108000
735,TA,TA,163000
736,,TA,93500
737,Gd,TA,239900
738,,,179000
739,,TA,190000
740,,TA,132000
741,,TA,142000
742,,TA,179000
743,TA,TA,175000
744,TA,TA,180000
745,TA,TA,299800
